"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024"
"Citizenship","Issued","31/08/2024","Bulgaria","60","57","47","62","75","83","92","69"
"Citizenship","Issued","31/08/2024","Burkina Faso","0","0","0","0","0","*","*","0"
"Citizenship","Issued","31/08/2024","Burundi","*","*","0","0","*","8","17","5"
"Citizenship","Issued","31/08/2024","Cabo Verde","0","0","*","0","0","0","*","*"
"Citizenship","Issued","31/08/2024","Cambodia","*","*","0","*","*","4","*","4"
"Citizenship","Issued","31/08/2024","Cameroon","38","33","27","24","46","57","58","39"
"Citizenship","Issued","31/08/2024","Canada","18","31","19","28","48","58","74","71"
"Citizenship","Issued","31/08/2024","Cayman Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Central African Republic (the)","0","0","*","*","0","0","*","*"
"Citizenship","Issued","31/08/2024","Ceuta","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Chad","0","*","0","0","0","*","*","*"
"Citizenship","Issued","31/08/2024","Chile","*","*","*","*","6","8","10","11"
"Citizenship","Issued","31/08/2024","China","221","231","158","126","290","384","856","449"
"Citizenship","Issued","31/08/2024","Christmas Island","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Cocos (Keeling) Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Colombia","11","15","8","5","15","27","30","25"
"Citizenship","Issued","31/08/2024","Comoros (the)","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Congo (the Democratic Republic of the)","74","56","34","43","100","127","168","140"
"Citizenship","Issued","31/08/2024","Congo (the)","4","4","*","*","6","7","11","8"
"Citizenship","Issued","31/08/2024","Cook Islands (the)","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Costa Rica","0","0","*","*","0","*","8","*"
"Citizenship","Issued","31/08/2024","Côte d'Ivoire","9","4","8","*","17","12","7","4"
"Citizenship","Issued","31/08/2024","Croatia","15","14","19","17","48","88","148","90"
"Citizenship","Issued","31/08/2024","Cuba","*","5","*","7","4","4","13","4"
"Citizenship","Issued","31/08/2024","Curaçao","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Cyprus","*","0","*","0","*","*","7","7"
"Citizenship","Issued","31/08/2024","Czechia","32","27","18","10","20","30","39","18"
"Citizenship","Issued","31/08/2024","Denmark","4","*","*","*","5","0","6","*"
"Citizenship","Issued","31/08/2024","Djibouti","0","0","0","0","0","0","0","0"
"Citizenship","Issued","31/08/2024","Dominica","0","0","0","0","0","*","0","0"
"Citizenship","Issued","31/08/2024","Dominican Republic (the)","4","0","*","*","5","4","5","4"
"Citizenship","Issued","31/08/2024","Ecuador","*","*","*","0","*","4","4","6"
"Citizenship","Issued","31/08/2024","Egypt","59","71","51","45","107","193","394","251"
"Citizenship","Issued","31/08/2024","El Salvador","*","0","*","4","0","*","6","11"
"Citizenship","Issued","31/08/2024","Equatorial Guinea","0","0","0","0","0","0","0","*"
"Citizenship","Issued","31/08/2024","Eritrea","*","5","*","0","11","16","23","15"
"Citizenship","Issued","31/08/2024","Estonia","24","23","11","16","22","20","14","13"
"Citizenship","Issued","31/08/2024","Eswatini","*","*","0","*","6","7","7","*"
"Citizenship","Issued","31/08/2024","Ethiopia","16","11","13","8","15","17","35","23"
"Citizenship","Issued","31/08/2024","Falkland Islands (the) [Malvinas]","0","0","0","0","0","0","0","0"
